availability_day,availability_hour,number,available_bikes,temperature,humidity,wind_speed,pressure,weather_main
Saturday,10,2,3,277.7,84,6.69,1004,Clouds
Saturday,10,2,3,277.7,84,6.69,1004,Clouds
Saturday,10,2,3,277.89,85,7.72,1004,Clouds
Saturday,10,2,2,277.89,85,7.72,1004,Clouds
Saturday,10,2,2,277.71,87,7.72,1004,Rain
Saturday,10,2,2,277.71,87,7.72,1004,Rain
Saturday,10,2,2,277.72,88,6.69,1004,Rain
Saturday,11,2,2,277.49,89,6.69,1004,Rain
Saturday,11,2,12,277.49,89,6.69,1004,Rain
Saturday,11,2,12,277.49,89,6.69,1004,Rain
Saturday,11,2,12,277.49,89,6.69,1004,Rain
Saturday,11,2,12,277.43,89,6.69,1003,Rain
Saturday,11,2,12,277.43,89,6.69,1003,Rain
Saturday,11,2,12,277.12,91,7.2,1003,Rain
Saturday,12,2,11,276.76,91,7.2,1003,Clouds
Saturday,12,2,11,276.92,91,6.17,1002,Clouds
Saturday,12,2,11,277.48,92,6.17,1002,Rain
Saturday,13,2,11,277.47,92,4.47,1002,Rain
Saturday,13,2,11,277.47,92,4.47,1002,Rain
Saturday,13,2,11,277.72,91,6.17,1002,Rain
Saturday,13,2,11,277.88,92,6.17,1001,Clouds
Saturday,13,2,10,278.11,91,6.69,1001,Rain
Saturday,13,2,11,278.57,91,6.69,1001,Rain
Saturday,14,2,11,278.25,92,6.69,1001,Rain
Saturday,14,2,11,278.52,91,6.69,1001,Rain
Saturday,14,2,11,278.52,91,6.69,1001,Rain
Saturday,14,2,11,278.52,91,6.69,1001,Clouds
Saturday,14,2,11,278.52,91,6.69,1000,Clouds
Saturday,14,2,11,278.52,91,6.69,1000,Clouds
Saturday,14,2,9,278.68,91,7.72,1000,Clouds
Saturday,14,2,9,278.68,91,7.72,1000,Clouds
Saturday,14,2,8,278.68,91,7.72,1000,Rain
Saturday,14,2,8,278.89,92,7.72,1000,Rain
Saturday,15,2,7,278.81,92,7.72,1000,Rain
Saturday,15,2,7,278.81,92,7.72,1000,Rain
Saturday,15,2,7,278.81,92,7.72,1000,Rain
Saturday,15,2,7,278.99,92,7.72,1000,Rain
Saturday,15,2,7,278.99,92,7.72,1000,Clouds
Saturday,15,2,8,279.1,93,7.72,1000,Clouds
Saturday,15,2,8,279.1,93,7.72,1000,Clouds
Saturday,15,2,7,279.41,92,8.23,1000,Rain
Saturday,16,2,6,279.39,92,4.02,1000,Rain
Saturday,16,2,6,279.39,92,4.02,1000,Rain
Saturday,16,2,5,279.54,92,8.23,999,Clouds
Saturday,16,2,6,279.54,92,8.23,999,Clouds
Saturday,16,2,6,279.61,92,6.69,999,Rain
Saturday,16,2,7,279.61,92,6.69,999,Clouds
Saturday,16,2,7,279.61,92,6.69,999,Clouds
Saturday,16,2,7,279.62,92,5.66,999,Rain
Saturday,17,2,7,279.61,92,6.69,999,Clouds
Saturday,17,2,7,279.67,92,5.66,999,Clouds
Saturday,17,2,7,279.67,92,5.66,999,Clouds
Saturday,17,2,7,279.89,94,4.63,999,Clouds
Saturday,17,2,7,279.88,94,2.57,999,Rain
Saturday,18,2,7,279.9,93,4.63,999,Clouds
Saturday,18,2,7,279.9,93,4.63,999,Clouds
Saturday,18,2,7,280.07,94,4.63,999,Clouds
Saturday,18,2,7,280.07,94,4.63,999,Clouds
Saturday,18,2,6,280.14,94,4.02,999,Clouds
Saturday,18,2,6,280.14,94,4.02,999,Clouds
Saturday,18,2,6,280.7,94,8.23,999,Clouds
Saturday,18,2,7,281.41,95,8.23,999,Clouds
Saturday,18,2,7,282.53,94,7.72,999,Rain
Saturday,19,2,7,281.94,95,4.02,999,Clouds
Saturday,19,2,7,281.94,95,4.02,999,Clouds
Saturday,19,2,7,282.9,94,7.72,999,Clouds
Saturday,19,2,7,283.11,94,7.72,1000,Clouds
Saturday,19,2,7,283.22,94,7.72,1000,Clouds
