availability_day,availability_hour,station_number,station_name,available_bikes,temperature,humidity,wind_speed,pressure,weather_main
Saturday,9,2,"BLESSINGTON STREET",2,276.13,92,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.13,92,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.13,92,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.13,92,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.97,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.97,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.04,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.04,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.04,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.36,90,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.46,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.46,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.32,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.32,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.32,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.35,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,277.2,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.69,87,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.69,87,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.89,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.61,87,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.61,87,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.79,90,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.79,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.41,87,2.06,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.41,87,2.06,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.54,89,2.06,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.69,89,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.78,88,1.03,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.78,88,1.03,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.78,88,1.03,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,275.78,88,1.03,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.11,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.11,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276,88,1.54,1020,Clear
Saturday,9,2,"BLESSINGTON STREET",2,276.08,88,1.54,1020,Clear
