availability_day,availability_hour,station_number,station_name,available_bikes,temperature,humidity,wind_speed,pressure,weather_main
Saturday,10,42,"ORIEL STREET TEST TERMINAL",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"HANOVER QUAY EAST",20,277.71,87,7.72,1004,Rain
Saturday,10,42,BROADSTONE,20,277.71,87,7.72,1004,Rain
Saturday,10,42,"KILLARNEY STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"WILTON TERRACE (PARK)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"MERRION SQUARE SOUTH",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"NORTH CIRCULAR ROAD (O'CONNELL'S)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"MOUNTJOY SQUARE EAST",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"PHIBSBOROUGH ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"BUCKINGHAM STREET LOWER",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"AVONDALE ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"CHARLEVILLE ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"RATHDOWN ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"GRANGEGORMAN LOWER (NORTH)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"GRANGEGORMAN LOWER (CENTRAL)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"GRANGEGORMAN LOWER (SOUTH)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"WESTERN WAY",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"KING STREET NORTH",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"HEUSTON BRIDGE (SOUTH)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"CITY QUAY",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"FREDERICK STREET SOUTH",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"KILMAINHAM GAOL",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"KILMAINHAM LANE",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"ROYAL HOSPITAL",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"HEUSTON STATION (CAR PARK)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"HEUSTON STATION (CENTRAL)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"HEUSTON BRIDGE (NORTH)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"SOUTH DOCK ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"BENSON STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"FITZWILLIAM SQUARE EAST",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"BLACKHALL PLACE",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"COLLINS BARRACKS MUSEUM",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"PARKGATE STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"ROTHE ABBEY",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"BROOKFIELD ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"EMMET ROAD",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"MOUNT BROWN",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"ST JAMES HOSPITAL (LUAS)",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"ECCLES STREET EAST",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"MATER HOSPITAL",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"WOLFE TONE STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"MARKET STREET SOUTH",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"JAMES STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"OLIVER BOND STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"JOHN STREET WEST",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"KEVIN STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"GRAND CANAL DOCK",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"HANOVER QUAY",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"THE POINT",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"NEW CENTRAL BANK",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"CONVENTION CENTRE",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"SANDWITH STREET",20,277.71,87,7.72,1004,Rain
Saturday,10,42,"FENIAN STREET",20,277.71,87,7.72,1004,Rain
