availability_last_update,dayquery,hourquery,available_bikes,temperature,wind_speed,pressure,humidity,weather_main
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.97,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.97,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,277.04,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,277.04,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,277.04,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.36,1.54,1020,90,Clear
"11th March 2023",Saturday,9,30,277.46,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.46,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.32,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.32,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.32,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.35,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.2,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.69,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,276.69,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,275.89,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.61,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,276.61,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,275.79,1.54,1020,90,Clear
"11th March 2023",Saturday,9,30,275.79,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.41,2.06,1020,87,Clear
"11th March 2023",Saturday,9,30,276.41,2.06,1020,87,Clear
"11th March 2023",Saturday,9,30,275.54,2.06,1020,89,Clear
"11th March 2023",Saturday,9,30,275.69,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,276.11,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.11,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.08,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.08,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.41,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,276.6,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.6,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.73,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.73,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.84,2.57,1020,87,Clouds
"11th March 2023",Saturday,9,30,276.84,2.57,1020,87,Clouds
"11th March 2023",Saturday,9,30,277.66,2.57,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.08,0.89,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.08,0.89,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.97,1.54,1020,85,Clouds
"11th March 2023",Saturday,9,30,278.03,1.54,1020,85,Clouds
"11th March 2023",Saturday,9,30,278.12,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.12,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.12,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.24,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.24,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.8,2.06,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.8,2.06,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.91,2.06,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.5,2.57,1020,82,Clear
"11th March 2023",Saturday,9,30,278.5,2.57,1020,82,Clear
"11th March 2023",Saturday,9,30,278.5,2.57,1020,82,Clear
"11th March 2023",Saturday,9,30,278.23,2.57,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.36,2.57,1020,83,Clouds
"11th March 2023",Saturday,9,30,278.45,2.57,1020,83,Clouds
"11th March 2023",Saturday,9,30,278.45,2.57,1020,83,Clouds
"11th March 2023",Saturday,9,30,278.71,3.09,1020,81,Clouds
"11th March 2023",Saturday,9,30,278.71,3.09,1020,80,Clouds
"11th March 2023",Saturday,9,30,278.89,3.09,1020,80,Clouds
"11th March 2023",Saturday,9,30,278.97,3.09,1020,80,Clouds
"11th March 2023",Saturday,9,30,279.25,3.09,1020,79,Clouds
"11th March 2023",Saturday,9,30,279.37,3.09,1020,79,Clouds
"11th March 2023",Saturday,9,30,279.37,3.09,1020,79,Clouds
"11th March 2023",Saturday,9,30,279.6,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,279.6,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,279.75,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,279.75,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.01,3.6,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.01,3.6,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.01,3.6,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.2,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.2,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.2,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.12,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.63,3.09,1020,77,Clouds
"11th March 2023",Saturday,9,30,279.65,3.09,1019,80,Clouds
"11th March 2023",Saturday,9,30,279.65,3.09,1019,80,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,80,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,280.09,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,280.7,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.7,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,281.39,3.6,1019,74,Clouds
"11th March 2023",Saturday,9,30,281.61,3.6,1019,74,Clouds
"11th March 2023",Saturday,9,30,281.61,3.6,1019,73,Clouds
"11th March 2023",Saturday,9,30,281.61,3.6,1019,73,Clouds
"11th March 2023",Saturday,9,30,281.97,4.12,1019,69,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,284.51,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,284.51,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,59,Clouds
